moisture	avg	smoch	horni	spodni	time
0.566382959	0.561129012	0.003778525	0.564907537	0.557350487	1.870804883
0.565616137	0.558403457	0.004900822	0.563304279	0.553502636	1.908216933
0.566493443	0.5602334	0.004279461	0.56451286	0.555953939	1.945452267
0.568330868	0.559468958	0.004733684	0.564202642	0.554735274	1.982796267
0.56674905	0.560465035	0.004308138	0.564773173	0.556156897	2.02019685
0.567467398	0.560882023	0.004221908	0.565103931	0.556660115	2.057463267
0.567308539	0.558874516	0.005826635	0.564701151	0.553047881	2.094789083
0.567681598	0.560163864	0.005173939	0.565337804	0.554989925	2.1320779
0.567467398	0.55968524	0.004788646	0.564473887	0.554896594	2.169298183
0.567495069	0.560465035	0.004160137	0.564625172	0.556304898	2.207395817
0.567653927	0.560125258	0.004118684	0.564243943	0.556006574	2.24473985
0.566963151	0.559275929	0.004637294	0.563913223	0.554638635	2.28205195
0.567046064	0.559692917	0.004751942	0.564444859	0.554940975	2.319376667
0.567729972	0.559291393	0.00547761	0.564769003	0.553813784	2.356752017
0.567467398	0.558125539	0.006032124	0.564157664	0.552093415	2.3941242
0.567163516	0.560341541	0.00457024	0.56491178	0.555771301	2.431412317
0.568621014	0.555453944	0.006977342	0.562431286	0.548476602	2.468927
0.568648685	0.557708551	0.005859718	0.563568269	0.551848833	2.50622395
0.566569389	0.558449851	0.004939782	0.563389633	0.553510069	2.54353745
0.568116767	0.558820446	0.005510431	0.564330877	0.553310014	2.58083905
0.567142813	0.558017398	0.004647943	0.562665341	0.553369455	2.6181017
0.567626356	0.555971285	0.005970673	0.561941958	0.550000612	2.655513417
0.567419123	0.558125539	0.00515055	0.563276089	0.55297499	2.692875183
0.566465772	0.558812658	0.004590855	0.563403513	0.554221803	2.7301796
0.56761252	0.557816692	0.005465504	0.563282196	0.552351188	2.76748
0.566016768	0.556859221	0.005910505	0.562769726	0.550948716	2.804718667
0.566859535	0.557530986	0.005470991	0.563001977	0.552059995	2.842042133
0.56647274	0.556805151	0.006049096	0.562854247	0.550756055	2.879379783
0.565284585	0.557808904	0.005554247	0.563363151	0.552254657	2.916695033
0.565802667	0.557507845	0.004767142	0.562274987	0.552740703	2.953912233
0.567370749	0.558457528	0.005159209	0.563616737	0.553298319	2.991261033
0.566797424	0.558241357	0.005283382	0.563524739	0.552957975	3.028656783
0.565623105	0.556534909	0.005533758	0.562068667	0.551001152	3.065959667
0.565857909	0.556133497	0.006208557	0.562342054	0.54992494	3.103229133
0.566852667	0.557839833	0.005316237	0.56315607	0.552523596	3.140586167
0.565595434	0.558218216	0.004938666	0.563156882	0.55327955	3.178118283
0.566486575	0.558310781	0.004493263	0.562804044	0.553817518	3.2154427
0.56712201	0.557893904	0.005500934	0.563394837	0.55239297	3.25269805
0.566963151	0.558403457	0.004487489	0.562890947	0.553915968	3.289962767
0.567135845	0.559530817	0.004243793	0.56377461	0.555287023	3.327311417
0.567425991	0.558720093	0.004690917	0.563411009	0.554029176	3.36469555
0.567425991	0.557183533	0.005786608	0.562970142	0.551396925	3.401989867
0.566728347	0.558086933	0.005534289	0.563621223	0.552552644	3.439412383
0.568040822	0.557716339	0.005152912	0.562869251	0.552563427	3.47674625
0.566521114	0.558959405	0.004776532	0.563735936	0.554182873	3.514055183
0.565540192	0.557144927	0.004926262	0.562071189	0.552218665	3.551292767
0.567716137	0.557206674	0.005325267	0.562531942	0.551881407	3.588630917
0.567204923	0.556758868	0.006034462	0.56279333	0.550724406	3.625936583
0.56647274	0.557770298	0.005268979	0.563039277	0.552501319	3.663252783
0.566610895	0.558056004	0.005270651	0.563326656	0.552785353	3.700558167
0.566755918	0.557623663	0.005140916	0.562764578	0.552482747	3.737825917
0.566866502	0.555369056	0.005906826	0.561275881	0.54946223	3.775135533
0.565747425	0.557500057	0.004609879	0.562109936	0.552890178	3.812423117
0.566175726	0.557113998	0.004778621	0.561892619	0.552335377	3.8497896
0.567073735	0.556264668	0.006006467	0.562271135	0.550258201	3.887098133
0.566548685	0.557036786	0.00514714	0.562183926	0.551889646	3.9243657
0.566106648	0.556125709	0.005581612	0.561707321	0.550544097	3.9625319
0.566818128	0.557283886	0.004988415	0.562272301	0.552295471	3.999797633
0.566452036	0.556612121	0.005450392	0.562062513	0.55116173	4.037175217
0.56712201	0.557106321	0.005038247	0.562144569	0.552068074	4.074403733
0.566880238	0.558256822	0.004121601	0.562378422	0.554135221	4.111788183
0.566389827	0.557530986	0.004742746	0.562273732	0.55278824	4.149065317
0.567039196	0.557113998	0.005041875	0.562155873	0.552072123	4.186283733
0.566369123	0.558210428	0.004261926	0.562472354	0.553948502	4.223626467
0.566714511	0.55648095	0.005080409	0.561561359	0.551400541	4.260886917
0.566527982	0.556079426	0.005292867	0.561372294	0.550786559	4.298411
0.566576356	0.556009891	0.005530493	0.561540384	0.550479399	4.33566355
0.567446694	0.557399704	0.005735704	0.563135408	0.551664	4.372932583
0.56659706	0.55733028	0.005394049	0.562724329	0.551936231	4.41022015
0.566389827	0.555755115	0.006166474	0.561921588	0.549588641	4.447532317
0.566355288	0.555863256	0.005748718	0.561611974	0.550114538	4.484867717
0.564807909	0.554936714	0.00574525	0.560681964	0.549191464	4.5222186
0.565374366	0.556727939	0.005160104	0.561888042	0.551567835	4.5596172
0.566306914	0.555369056	0.005629424	0.560998479	0.549739632	4.59696125
0.564255288	0.555538944	0.0056051	0.561144044	0.549933844	4.634193267
