Temp5	Temp6	Temp7	Temp8	Weight	Temp3	Temp4	time	moisture
92.01840973	74.53072357	65.76743317	90.06092834	589.8297119	205.2540894	131.4143066	18.76626942	0.515671235
92.16100311	74.60850525	65.75447083	90.39797211	589.9176025	205.6689148	131.58284	18.80280548	0.51594823
92.07025909	74.84184265	65.91003418	90.38500977	589.7873535	205.4096375	131.56987	18.8393159	0.515537739
92.13507843	74.90666199	65.96188354	90.26834106	589.9017334	205.3837128	131.56987	18.87584637	0.515898217
92.17396545	74.85480499	66.2859726	90.60539246	590.0108032	205.2411194	131.6476593	18.91236238	0.516241961
92.40731049	75.08815002	66.20819092	90.54057312	590.0541992	204.4244232	131.673584	18.94879372	0.516378727
92.56287384	75.03629303	66.42856598	90.47575378	589.8869019	204.7485046	131.751358	18.98537553	0.515851474
92.34249115	75.12703705	66.48042297	90.54057312	589.7216797	205.1763	131.8809967	19.0218293	0.515330762
92.43323517	75.12703705	66.73969269	90.90354919	589.6539307	204.9818573	131.8809967	19.05839277	0.515117244
92.58879852	75.34741974	66.70079803	90.77391815	589.7915649	205.7078094	131.945816	19.09560558	0.515551011
92.69250488	75.30852509	66.92118073	90.79984283	589.7703857	205.8504028	131.9069214	19.13212117	0.515484263
92.65361786	75.34741974	66.92118073	90.83872986	589.6624146	205.3966827	131.9976654	19.16862095	0.515143982
92.6665802	75.51594543	67.18045044	90.79984283	589.6242676	205.2540894	132.0624847	19.2051181	0.515023759
92.6665802	75.55483246	67.15452576	91.00725555	589.5575562	205.2411194	132.0365601	19.24161542	0.514813511
92.88695526	75.51594543	67.50453186	91.05911255	589.4950562	205.4744568	132.0235901	19.27801055	0.514616537
92.87399292	75.77521515	67.4526825	91.07207489	589.5723877	205.4096375	132.1532288	19.3144925	0.514860254
92.88695526	75.81410217	67.64713287	91.07207489	589.5088501	205.7337341	132.1661835	19.35112455	0.51466001
92.91288757	75.80113983	67.73787689	91.26652527	589.4209595	205.7078094	132.1532288	19.38754628	0.514383014
93.0684433	76.00855255	67.97122192	91.26652527	589.3171997	205.2022247	132.2569275	19.42413793	0.514056006
93.14622498	76.08633423	67.93232727	91.29244995	589.4082642	205.3188934	132.2180481	19.46064608	0.514343004
93.10733795	76.12522125	68.15270996	91.4998703	589.5141602	205.280014	132.3347168	19.49715202	0.514676745
93.13326263	76.03447723	68.1656723	91.46097565	589.6327515	205.4096375	132.3347168	19.53363602	0.515050496
93.05548096	76.25485992	68.37308502	91.4998703	589.4442749	205.280014	132.4513855	19.5702047	0.514456495
93.36660767	76.31967926	68.41197968	91.4998703	589.2102051	204.9559174	132.3995361	19.6066857	0.513718803
93.36660767	76.34560394	68.43790436	91.46097565	589.2133789	205.1374054	132.4643555	19.64313532	0.513728805
93.34067535	76.52709198	68.58049774	91.74617767	588.7845459	205.5911255	132.5550995	19.67954517	0.512377299
93.36660767	76.52709198	68.81384277	91.74617767	588.9920654	205.3707581	132.5550995	19.71600808	0.513031316
93.31475067	76.57894897	68.94347382	91.75914001	588.8936157	206.381897	132.6458435	19.75249168	0.512721042
93.59994507	76.77339935	69.2157135	91.81098938	588.9655762	206.4337616	132.6069489	19.78897462	0.512947832
93.52216339	76.617836	69.13793182	92.08322144	589.0789185	205.9670715	132.6847229	19.8255489	0.513305041
93.63883972	76.85118103	69.38423157	91.97951508	588.9158325	205.8892975	132.8013916	19.86205692	0.512791061
93.57402039	77.09748077	69.41016388	92.01840973	589.0132446	205.7078094	132.7495422	19.89848187	0.513098064
93.56105804	77.05859375	69.60461426	92.08322144	589.0947876	205.5911255	132.7495422	19.93496957	0.513355054
93.97588348	77.07155609	69.64350128	92.14804077	589.0640869	205.4355774	132.8402863	19.97139843	0.513258298
93.79439545	77.04563141	69.91573334	92.27767181	589.0874023	205.5652008	132.8402863	20.00783767	0.513331779
93.89810181	77.30490112	69.91573334	92.32952881	588.8978271	205.280014	132.8791809	20.04424707	0.512734315
93.78143311	77.35675049	70.09722137	92.26470947	588.7855835	205.5911255	132.9440002	20.08083	0.512380569
93.85921478	77.30490112	70.31760406	92.26470947	588.8184204	205.5911255	132.9440002	20.11732798	0.512484057
94.10552216	77.51231384	70.3824234	92.58879852	588.8649902	205.6040955	133.047699	20.15375412	0.512630826
94.02774048	77.55120087	70.62872314	92.61472321	588.7421875	206.0318909	133.1254883	20.19023868	0.512243802
94.15737152	77.56417084	70.65465546	92.4980545	588.727356	206.3041229	133.1125183	20.22676885	0.512197059
94.1184845	77.65491486	70.84910583	92.4980545	588.6182861	205.7985535	133.138443	20.26325173	0.511853316
94.09255981	77.84936523	70.87503052	92.4980545	588.713562	205.7078094	133.1254883	20.29975143	0.512153587
94.35182953	77.75862122	71.09540558	92.60176086	588.5854492	205.8892975	133.1773376	20.33634572	0.511749827
