avg	smoch	horni	spodni	time
33.36021242	1.289695592	34.64990802	32.07051683	2.431412317
33.55634175	1.36644976	34.92279151	32.18989199	2.468927
33.68021335	1.473193196	35.15340655	32.20702016	2.50622395
33.88666695	1.455524948	35.3421919	32.431142	2.54353745
34.0363457	1.5374685	35.5738142	32.4988772	2.58083905
34.13699084	1.651877481	35.78886832	32.48511336	2.6181017
34.42860592	1.755115384	36.1837213	32.67349053	2.655513417
34.60409141	1.861418404	36.46550982	32.74267301	2.692875183
34.7718341	1.913322693	36.68515679	32.85851141	2.7301796
34.99377096	2.024091051	37.01786201	32.96967991	2.76748
35.2389335	2.064390379	37.30332388	33.17454312	2.804718667
35.41441821	2.094928408	37.50934662	33.3194898	2.842042133
35.69054884	2.314975595	38.00552444	33.37557325	2.879379783
35.91506756	2.343226549	38.2582941	33.57184101	2.916695033
36.11119727	2.503009644	38.61420692	33.60818763	2.953912233
36.36152077	2.498667137	38.8601879	33.86285363	2.991261033
36.54732857	2.639884277	39.18721285	33.90744429	3.028656783
36.93184755	2.763320917	39.69516847	34.16852663	3.065959667
37.1228167	2.807794378	39.93061108	34.31502233	3.103229133
37.4453987	2.857801113	40.30319982	34.58759759	3.140586167
37.65701247	3.069158933	40.7261714	34.58785353	3.178118283
38.01830616	3.202511221	41.22081738	34.81579494	3.2154427
38.32024355	3.320877179	41.64112073	34.99936637	3.25269805
38.5525035	3.415986184	41.96848968	35.13651731	3.289962767
38.9576663	3.490950099	42.4486164	35.4667162	3.327311417
39.21315233	3.615132275	42.8282846	35.59802005	3.36469555
39.55121837	3.736696461	43.28791484	35.81452191	3.401989867
39.87380195	3.842863627	43.71666557	36.03093832	3.439412383
40.25832014	3.966884585	44.22520472	36.29143555	3.47674625
40.43380446	4.085193655	44.51899811	36.3486108	3.514055183
40.85187221	4.194392771	45.04626498	36.65747944	3.551292767
41.18993983	4.262054479	45.45199431	36.92788535	3.588630917
41.51768318	4.382967452	45.90065063	37.13471573	3.625936583
41.7731692	4.547016147	46.32018535	37.22615306	3.663252783
42.1267193	4.642807717	46.76952702	37.48391158	3.700558167
42.53962492	4.680857516	47.22048243	37.8587674	3.737825917
42.9034985	4.823036607	47.7265351	38.08046189	3.775135533
43.21059802	4.897376769	48.10797479	38.31322125	3.812423117
43.53575991	4.995666127	48.53142603	38.54009378	3.8497896
43.88156955	5.090799593	48.97236914	38.79076996	3.887098133
44.18092547	5.142464891	49.32339036	39.03846058	3.9243657
44.60415379	5.348209379	49.95236317	39.25594441	3.9625319
44.8699633	5.378017257	50.24798056	39.49194604	3.999797633
45.35254635	5.587878144	50.9404245	39.76466821	4.037175217
45.54867686	5.595726708	51.14440356	39.95295015	4.074403733
45.89448571	5.657400387	51.5518861	40.23708533	4.111788183
46.26868278	5.785919919	52.0546027	40.48276286	4.149065317
46.59384467	5.881704331	52.475549	40.71214034	4.186283733
46.84932991	5.965330134	52.81466004	40.88399977	4.223626467
47.22610765	6.027877822	53.25398547	41.19822983	4.260886917
47.53062492	6.093148031	53.62377295	41.43747689	4.298411
47.92804728	6.138213948	54.06626123	41.78983333	4.33566355
48.29192007	6.243382301	54.53530237	42.04853777	4.372932583
48.49063125	6.235065651	54.7256969	42.2555656	4.41022015
48.93708643	6.365058148	55.30214458	42.57202828	4.447532317
49.15902211	6.422902732	55.58192484	42.73611937	4.484867717
49.50483254	6.499789438	56.00462198	43.0050431	4.5222186
49.80418925	6.614587409	56.41877666	43.18960184	4.5596172
50.14483518	6.683526549	56.82836173	43.46130863	4.59696125
50.43386998	6.682632255	57.11650224	43.75123772	4.634193267
50.77451827	6.744895938	57.51941421	44.02962234	4.6714449
51.08935746	6.858133486	57.94749095	44.23122398	4.70879275
51.37581237	6.785967098	58.16177947	44.58984527	4.746174
51.73968517	6.910300884	58.64998605	44.82938428	4.783559033
51.97710568	6.894267656	58.87137334	45.08283802	4.820834233
52.28936576	6.925182977	59.21454874	45.36418279	4.858301183
52.55259303	6.904459027	59.45705205	45.648134	4.895633583
52.95775741	7.118081985	60.07583939	45.83967542	4.932948017
53.18227455	7.119337307	60.30161185	46.06293724	4.970315467
53.51001947	7.092974032	60.6029935	46.41704543	5.007618433
53.81195607	7.178018942	60.98997501	46.63393712	5.04502905
54.0984094	7.205288576	61.30369798	46.89312083	5.082275567
54.41067027	7.143083334	61.55375361	47.26758694	5.119536717
54.74357576	7.287478892	62.03105465	47.45609686	5.1569261
54.94744907	7.252011667	62.19946074	47.6954374	5.19417845
55.2261596	7.357405363	62.58356496	47.86875423	5.231435667
55.53583901	7.288291956	62.82413096	48.24754705	5.2687487
55.82745369	7.325411074	63.15286476	48.50204262	5.30610475
56.11390624	7.304515568	63.41842181	48.80939067	5.343364283
56.32810225	7.317759382	63.64586164	49.01034287	5.38074555
56.6558456	7.332826772	63.98867237	49.32301883	5.418125483
56.98100906	7.359441281	64.34045034	49.62156778	5.45538365
57.16681765	7.463676098	64.63049375	49.70314155	5.492740283
57.51520561	7.436639899	64.95184551	50.07856571	5.5302072
57.78617568	7.399335993	65.18551168	50.38683969	5.5675095
58.10617779	7.470485345	65.57666314	50.63569245	5.60481995
58.30746964	7.485417559	65.7928872	50.82205209	5.642121867
58.55521286	7.46648019	66.02169305	51.08873267	5.679388567
58.89585958	7.577133503	66.47299308	51.31872608	5.717489767
59.12295818	7.552310723	66.6752689	51.57064746	5.75481455
59.30360621	7.542358479	66.84596469	51.76124773	5.7921777
59.64167225	7.549148312	67.19082057	52.09252394	5.82947265
